source,target,weight,edge_count,type,distance
italy,freising,1.0,2,primary_movement,1.0
italy,library_bamberg,1.0,1,primary_movement,1.0
italy,library_florence,0.5,1,primary_movement,2.0
italy,library_laon,0.5,1,primary_movement,2.0
italy,library_milan,1.5,2,primary_movement,0.6666666666666666
italy,library_montecassino,1.0,1,primary_movement,1.0
italy,library_naples,0.6666666666666666,2,primary_movement,1.5
italy,library_turin,0.6666666666666666,2,primary_movement,1.5
italy,library_turin_reale,0.1666666666666666,1,primary_movement,6.000000000000003
italy,library_vatican,2.0,3,primary_movement,0.5
italy,library_wroclaw,1.0,1,primary_movement,1.0
italy,lorsch,1.0,1,primary_movement,1.0
italy,strasbourg,1.3333333333333333,2,primary_movement,0.75
italy,verona,1.0,1,place_hierarchy,1.0
laon,library_laon,12.0,12,primary_movement;secondary_movement,0.08333333333333333
laon,library_paris_bnf,0.5,1,primary_movement,2.0
laon,library_vatican,0.5,1,primary_movement,2.0
laon,reichenau,0.3333333333333333,1,primary_movement,3.0
lorsch,library_vatican,1.5,2,secondary_movement,0.6666666666666666
luxeuil,library_naples,1.0,1,primary_movement,1.0
lyon,library_berlin,0.5,2,primary_movement,2.0
lyon,library_florence,1.0,1,secondary_movement,1.0
lyon,library_laon,1.0,1,primary_movement,1.0
mainz,laon,1.0,1,primary_movement,1.0
mainz,library_leiden,1.0,1,secondary_movement,1.0
mainz,trier,0.5,1,primary_movement,2.0
northumbria,library_cambridge_magdalen,0.25,1,primary_movement,4.0
northumbria,library_dublin_tcd,1.0,1,primary_movement,1.0
northumbria,library_durham,2.25,5,primary_movement,0.4444444444444444
northumbria,library_kues,0.5,1,primary_movement,2.0
northumbria,library_vatican,0.5,1,primary_movement,2.0
paris,library_cambridge_pembroke,1.0,1,primary_movement,1.0
paris,library_milan,1.0,1,primary_movement,1.0
paris,library_paris_bnf,1.0,1,secondary_movement,1.0
peronne,library_cambrai,0.5,1,primary_movement,2.0
regensburg,library_columbia,0.2,1,secondary_movement,5.0
regensburg,library_harvard,0.2,1,secondary_movement,5.0
regensburg,library_munich,7.4,9,primary_movement;secondary_movement,0.13513513513513511
regensburg,library_regensburg,0.2,1,secondary_movement,5.0
reichenau,library_beuron,1.0,1,primary_movement,1.0
reichenau,library_karlsruhe,28.5,29,primary_movement;secondary_movement,0.03508771929824561
reichenau,library_munich,1.0,1,secondary_movement,1.0
reichenau,library_schaffhausen,1.0,1,secondary_movement,1.0
reichenau,library_st-paul,1.0,1,secondary_movement,1.0
reichenau,library_vatican,0.5,1,secondary_movement,2.0
reichenau,library_zurich_zentral,1.0,1,primary_movement,1.0
reichenau,regensburg,0.5,1,primary_movement,2.0
reichenau,trier,0.5,1,primary_movement,2.0
reims,laon,1.0,1,primary_movement,1.0
reims,library_bamberg,1.0,1,primary_movement,1.0
reims,library_berlin,0.5,2,primary_movement,2.0
reims,library_bologna,1.0,1,primary_movement,1.0
reims,library_dresden,1.0,1,primary_movement,1.0
reims,library_gniezo,1.0,1,primary_movement,1.0
reims,library_leiden,1.0,1,primary_movement,1.0
reims,library_paris_bnf,2.0,2,primary_movement,0.5
reims,library_reims,1.0,1,secondary_movement,1.0
reims,st-gall,0.5,1,primary_movement,2.0
roscrea,library_dublin_tcd,1.0,1,primary_movement,1.0
rouen,library_rouen,1.0,1,secondary_movement,1.0
saint-amand,laon,3.5,4,primary_movement,0.2857142857142857
saint-amand,library_laon,1.5,2,primary_movement,0.6666666666666666
saint-amand,library_valenciennes,1.0,1,primary_movement,1.0
saint-amand,library_vienna,0.5,1,primary_movement,2.0
saint-denis,library_paris_bnf,1.0,1,primary_movement,1.0
salzburg,library_munich,2.5,3,primary_movement,0.4
salzburg,library_vienna,9.0,10,primary_movement,0.1111111111111111
soissons,bobbio,0.1666666666666666,1,primary_movement,6.000000000000003
soissons,library_bamberg,1.0,1,primary_movement,1.0
soissons,library_berlin,1.0,1,primary_movement,1.0
soissons,library_laon,1.0,1,primary_movement,1.0
soissons,library_munich,1.0,1,primary_movement,1.0
soissons,library_paris_mazarine,0.5,1,primary_movement,2.0
soissons,library_vatican,0.5,1,primary_movement,2.0
soissons,reichenau,1.8333333333333333,5,primary_movement,0.5454545454545455
st-gall,library_basel,1.0,1,primary_movement,1.0
st-gall,library_dresden,1.0,1,primary_movement,1.0
st-gall,library_st-gall,16.0,16,primary_movement;secondary_movement,0.0625
st-gall,library_zurich,1.0,1,secondary_movement,1.0
st-gall,st-gall,2.0,2,primary_movement,0.5
st-gall,strasbourg,0.3333333333333333,1,primary_movement,3.0
strasbourg,library_bern,1.0,1,secondary_movement,1.0
strasbourg,library_einsiedeln,1.0,1,primary_movement,1.0
strasbourg,library_paris_bnf,1.0,1,secondary_movement,1.0
strasbourg,strasbourg,0.3333333333333333,1,primary_movement,3.0
switzerland,library_basel,1.0,1,primary_movement,1.0
switzerland,library_zurich_zentral,1.0,1,primary_movement,1.0
switzerland,st-gall,1.0,1,place_hierarchy,1.0
tallaght,library_dublin_ria,1.0,1,primary_movement,1.0
tallaght,reichenau,1.0,1,primary_movement,1.0
tours,library_cambridge_corpus,1.0,1,primary_movement,1.0
tours,library_london_bl,1.0,1,primary_movement,1.0
tours,library_vatican,0.5,1,primary_movement,2.0
trier,library_berlin,1.0,1,secondary_movement,1.0
verdun,library_florence,1.0,1,secondary_movement,1.0
verdun,library_paris_arsenal,1.0,1,secondary_movement,1.0
verdun,verdun,0.5,1,primary_movement,2.0
verona,library_london_bl,1.0,1,primary_movement,1.0
wales,library_cambridge_ul,1.0,1,primary_movement,1.0
wales,library_lichfield,1.0,1,primary_movement,1.0
wales,library_saint-omer,0.5,1,primary_movement,2.0
werden,library_berlin,1.0,1,secondary_movement,1.0
wurzburg,library_jena,1.0,1,secondary_movement,1.0
wurzburg,library_wurzburg,2.0,2,secondary_movement,0.5
