Node,Label,Type,In-degree count,Out-degree count,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
italy,Italy,place,0,15,0.0,14.333333333333334,14.333333333333334,0.12295081967213116,0.0,0.4686521946387966,0.011895020690945364,0.005752761615125726
fussen,Füssen,place,2,1,2.0,1.0,3.0,0.02459016393442623,0.00027096599376778217,0.32341108036495414,0.001164134366508543,0.00852033624212106
fleury,Fleury,place,2,4,1.5,4.0,5.5,0.04918032786885246,0.00027096599376778217,0.38702708400168323,0.003382641058745514,0.0068578491896929975
cambrai,Cambrai,place,1,1,1.0,0.5,1.5,0.01639344262295082,3.387074922097277e-05,0.3786901927968522,0.0015018509751549983,0.005861422760522835
strasbourg,Strasbourg,place,3,3,2.6666666666666665,3.0,5.666666666666666,0.04918032786885246,0.0015580544641647476,0.4333215043743865,0.005433677247022361,0.0064436781872367664
canterbury,Canterbury,place,3,3,4.0,3.0,7.0,0.04918032786885246,0.0007790272320823738,0.3939331356721839,0.0020006082320640655,0.010160740996204707
corbie,Corbie,place,3,4,3.0,6.0,9.0,0.05737704918032787,0.0006096734859775099,0.5503694255370776,0.021036156260283184,0.007903173134291858
iona,Iona,place,1,2,1.0,2.0,3.0,0.02459016393442623,0.0,0.41542780657632555,0.030587540808573208,0.005801659130554425
tours,Tours,place,1,3,1.0,2.5,3.5,0.03278688524590164,0.0001016122476629183,0.4005061444164582,0.0028075174629184968,0.005861422760522835
france,France,place,0,31,0.0,44.99999999999999,44.99999999999999,0.2540983606557377,0.0,0.6005027991285584,0.05715037680822599,0.005752761615125726
paris,Paris,place,2,3,2.0,3.0,5.0,0.04098360655737705,0.0004741904890936188,0.4267713189880761,0.006867562519754238,0.006981078348774316
germany,Germany,place,2,16,0.5,22.5,23.0,0.14754098360655737,0.002845142934561713,0.45868641849838143,0.04131755094679909,0.005994193097554928
luxeuil,Luxeuil,place,1,1,1.0,1.0,2.0,0.01639344262295082,6.774149844194554e-05,0.39509938538868244,0.00196966139482794,0.005861422760522835
reims,Reims,place,1,10,1.0,10.0,11.0,0.09016393442622951,0.00030483674298875495,0.5117198357920498,0.009301484127737684,0.005861422760522835
auxerre,Auxerre,place,1,1,1.0,1.0,2.0,0.01639344262295082,0.0,0.4144704431581096,0.003350644663485659,0.005861422760522835
werden,Werden,place,2,1,2.0,1.0,3.0,0.02459016393442623,0.0001016122476629183,0.39857213823260756,0.0026242176623065784,0.006087867635861418
clondalkin,Clondalkin,place,1,1,1.0,1.0,2.0,0.01639344262295082,0.0,0.41401801480768097,0.029546940770759495,0.005801659130554425
switzerland,Switzerland,place,0,3,0.0,3.0,3.0,0.02459016393442623,0.0,0.40272612998392554,0.0052840355596042166,0.005752761615125726
verona,Verona,place,1,1,1.0,1.0,2.0,0.01639344262295082,6.774149844194554e-05,0.37608308897859377,0.0013155371829738855,0.006093907071605022
wurzburg,Würzburg,place,2,2,3.0,3.0,6.0,0.03278688524590164,0.0003387074922097277,0.5313782223091043,0.02854163030713654,0.006077001521321707
bangor,Bangor,place,1,1,1.0,1.5,2.5,0.01639344262295082,0.0,0.44513394970826686,0.01832611146227104,0.005801659130554425
echternach,Echternach,place,2,1,2.0,3.333333333333333,5.333333333333333,0.02459016393442623,6.774149844194554e-05,0.5570709516494864,0.018912067871514327,0.0077945119888947504
brittany,Brittany,place,1,3,1.0,2.5,3.5,0.03278688524590164,6.774149844194554e-05,0.38313945366736385,0.002595249168850012,0.005861422760522835
tallaght,Tallaght,place,1,2,1.0,2.0,3.0,0.02459016393442623,0.0,0.41448688102529274,0.030567376776675335,0.005801659130554425
saint-denis,Saint-Denis,place,1,1,1.0,1.0,2.0,0.01639344262295082,0.0,0.4144704431581096,0.003350644663485659,0.005861422760522835
rouen,Rouen,place,2,1,2.0,1.0,3.0,0.02459016393442623,0.00013548299688389108,0.4364799630203144,0.014190641050462841,0.005910320275951534
regensburg,Regensburg,place,3,4,3.0,8.0,11.0,0.05737704918032787,0.002506435442351985,0.4550312012286117,0.029274878863226002,0.006367158240910048
bobbio,Bobbio,place,5,11,7.500000000000001,40.0,47.5,0.13114754098360656,0.004267714401842569,0.6307904192166102,0.1432904288627316,0.011390150675998613
library_london_getty,Private Collection J. Paul Getty Jr.,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_cambridge_ul,University Library,library,2,0,2.0,0.0,2.0,0.01639344262295082,0.0,0.3007638578174031,0.000335766531789696,0.012639985046485006
library_leuven,University Library,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_paris_arsenal,Bibliothèque de l’Arsenal,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.30323385260902674,5.942747989126581e-05,0.008266922838796358
library_valenciennes,Bibliothèque municipale,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.32298511692654963,0.00015569192307746628,0.006519243483718159
library_kues,Hospitalbibliothek,library,2,0,1.0,0.0,1.0,0.01639344262295082,0.0,0.2954182052191419,0.006362137985977624,0.0064071229151202195
library_regensburg,Staatliche Bibliothek,library,1,0,0.2,0.0,0.2,0.00819672131147541,0.0,0.13972983174305975,0.0001538160520208805,0.0058880599735945715
library_dresden,Sächsische Landesbibliothek – Staats- und Universitätsbibliothek,library,2,0,2.0,0.0,2.0,0.01639344262295082,0.0,0.40468177407812406,0.004917988159378589,0.006633159283935419
library_oxford_bodleian,Bodleian Library,library,2,0,3.0,0.0,3.0,0.01639344262295082,0.0,0.5199590883589953,0.02570988627804745,0.01078187946019444
library_berlin,Staatsbibliothek Preussischer Kulturbesitz,library,5,0,4.0,0.0,4.0,0.04098360655737705,0.0,0.35095109936684565,0.0014256394367205174,0.019074076650055977
library_vatican,Biblioteca Apostolica Vaticana,library,11,0,8.833333333333332,0.0,8.833333333333332,0.09016393442622951,0.0,0.44833945207735626,0.022825388635134895,0.015106480338663547
library_jena,Thüringer Universitäts- und Landesbibliothek,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.3479831931419597,0.0007498341175014757,0.0074745622971244974
library_gniezo,Biblioteka Kapitulna,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.339443588870361,0.00024435166661121715,0.006250974829710807
library_zurich_zentral,Zentralbibliothek,library,2,0,2.0,0.0,2.0,0.01639344262295082,0.0,0.4097520531808552,0.01700623745332067,0.007834342390777863
library_london_bl,British Library,library,4,0,5.5,0.0,5.5,0.03278688524590164,0.0,0.5728582268583209,0.03817970033203895,0.013530504895403837
library_schaffhausen,Stadtbibliothek,library,2,0,3.0,0.0,3.0,0.01639344262295082,0.0,0.5188534221607223,0.04222645541940607,0.006302220240678624
library_dublin_ria,Royal Irish Academy,library,2,0,4.0,0.0,4.0,0.01639344262295082,0.0,0.5684098896789465,0.038841564571406674,0.00836511556851748
library_lichfield,Cathedral Library,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.18954876441065333,2.4215127275383883e-06,0.00770866223227369
library_karlsruhe,Badische Landesbibliothek,library,3,0,30.0,0.0,30.0,0.02459016393442623,0.0,0.6696853075631413,0.4939438746997934,0.018787294017045472
