Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
england,England,place,0.0,5.333333333333333,5.333333333333333,0.019886363636363636,0.0,0.18154813342550988,0.0047803735803535865,0.00167794128685817
paris,Paris,place,2.0,2.0,4.0,0.011363636363636364,0.00011331261331261332,0.2128854226983208,0.0016928019893293162,0.004052001346143716
northumbria,Northumbria,place,1.0,4.5,5.5,0.019886363636363636,4.856254856254856e-05,0.16587102413715318,0.0054311932886717445,0.0019454017710983638
mainz,Mainz,place,2.0,1.5,3.5,0.011363636363636364,0.00041682854182854183,0.2148008442393083,0.004270816109287507,0.003279632846899872
armagh,Armagh,place,1.0,2.0,3.0,0.008522727272727272,2.428127428127428e-05,0.2377170082762188,0.0664337954653421,0.001692205846017647
lyon,Lyon,place,2.0,1.5,3.5,0.011363636363636364,2.832815332815333e-05,0.21274991319946765,0.0017597705700093714,0.0031630450014089283
st-gall,St Gall,place,17.0,5.333333333333333,22.333333333333332,0.06534090909090909,0.002331002331002331,0.25710008741258744,0.08779413757820571,0.03522793011894624
freising,Freising,place,3.0,4.0,7.0,0.019886363636363636,0.0006475006475006476,0.21127061544650041,0.0041915541165365704,0.005059302525716607
iona,Iona,place,1.0,2.0,3.0,0.008522727272727272,1.618751618751619e-05,0.24167036416222967,0.06838224787905113,0.001692205846017647
bangor,Bangor,place,1.0,1.5,2.5,0.008522727272727272,8.093758093758094e-06,0.24360795454545456,0.06839803628061983,0.001692205846017647
fussen,Füssen,place,2.0,0.0,2.0,0.005681818181818182,0.0,0.19930239334309102,0.0033848308523809034,0.00383968782534954
switzerland,Switzerland,place,0.0,3.0,3.0,0.008522727272727272,0.0,0.20404768842268844,0.008737703147434665,0.00167794128685817
wales,Wales,place,0.0,2.5,2.5,0.008522727272727272,0.0,0.1375432566404789,0.001624975689281504,0.00167794128685817
luxeuil,Luxeuil,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.2123444178121751,0.0015790122233949784,0.0017096403072125632
auxerre,Auxerre,place,2.0,1.0,3.0,0.008522727272727272,8.093758093758094e-06,0.2123444178121751,0.0015790122233949784,0.011125485377144528
reichenau,Reichenau,place,29.5,6.5,36.0,0.10795454545454546,0.005839261047594382,0.25650814553826834,0.2018811297314253,0.04683812845661259
peronne,Péronne,place,1.0,0.5,1.5,0.005681818181818182,4.046879046879047e-06,0.2123444178121751,0.0015714517249918198,0.0017096403072125632
tallaght,Tallaght,place,1.0,2.0,3.0,0.008522727272727272,1.618751618751619e-05,0.24167036416222967,0.06838224787905113,0.001692205846017647
strasbourg,Strasbourg,place,3.0,1.3333333333333333,4.333333333333333,0.014204545454545456,0.00033993783993783994,0.22783238830017974,0.0019973000719056663,0.00764907598106022
clondalkin,Clondalkin,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.24132138168690517,0.06772425284692829,0.001692205846017647
saint-amand,Saint-Amand,place,1.0,6.5,7.5,0.02556818181818182,4.856254856254856e-05,0.2173147682941246,0.0018590897689334965,0.0017096403072125632
cambrai,Cambrai,place,1.0,0.5,1.5,0.005681818181818182,4.046879046879047e-06,0.2123444178121751,0.0015714517249918198,0.0017096403072125632
verona,Verona,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.18861744561871538,0.0007548380541767844,0.0017774614670405678
fleury,Fleury,place,3.0,2.5,5.5,0.017045454545454544,7.68907018907019e-05,0.21315696022727273,0.0016346654727178937,0.0056224254196398935
bobbio,Bobbio,place,9.5,31.5,41.0,0.13068181818181818,0.005377852600074823,0.24010784025600837,0.05864000080264158,0.015215844863091176
tours,Tours,place,1.0,2.5,3.5,0.011363636363636364,2.0234395234395237e-05,0.2128854226983208,0.0016067682507531279,0.0017096403072125632
birr,Birr,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.23504227400588162,0.0657816908066715,0.001692205846017647
rouen,Rouen,place,2.0,0.0,2.0,0.005681818181818182,0.0,0.25690247012787365,0.00800073491294951,0.0031482231733721638
