Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
ms_71,71,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.2031794003868472,0.019709201452776395,0.007803995784647515
ms_67,67,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_16,16,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0005018130018130018,0.2006183155080214,0.0007590584707469379,0.0035366950620675424
ms_148,148,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_168,168,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.20467245170628515,0.0008239729413006587,0.002755265367300034
ms_172,172,manuscript,0.0,0.0,0.0,0.0,0.0,0.0,1.968618543085319e-58,0.00167794128685817
ms_24,24,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.21207494520073836,0.0015639632827367915,0.0017096403072125632
ms_119,119,manuscript,1.0,1.0,2.0,0.008522727272727272,0.0,0.21180615566309483,0.04164083797670027,0.0021646011884911085
ms_178,178,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18475959847228504,0.00019498413990457747,0.006555257532264511
ms_196,196,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_29,29,manuscript,1.0,0.0,1.0,0.008522727272727272,0.0,0.16130796990171992,0.022111561678482935,0.007266892199366683
ms_25,25,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.19219673009566626,0.032810722833753705,0.0018188038085580056
ms_244,244,manuscript,1.0,1.0,2.0,0.008522727272727272,2.428127428127428e-05,0.1756332704342426,0.00024546810519452306,0.0029246022667883224
ms_8,8,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.14815164611540943,0.0001534101631767444,0.0045847506752509
ms_101,101,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19375658761528328,0.006675605411058404,0.00239723271993797
ms_205,205,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.14180318779650558,0.0005302332090079449,0.0020454604496183467
ms_59,59,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_265,265,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.21383884429709768,0.0019060759389517943,0.0017096403072125632
ms_9,9,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_204,204,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.12057363406795227,0.00015864290709255346,0.002248523653237251
ms_163,163,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_288,288,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_296,296,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_106,106,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_50,50,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_215,215,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18947285353535354,0.00642172268955453,0.00311652415301777
ms_79,79,manuscript,1.0,1.0,2.0,0.008522727272727272,0.0003012676623787735,0.19241802742450412,0.0036454745444531225,0.0019330296137805123
ms_195,195,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
