Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank,Mean percentile
rouen,Rouen,place,0.9461756373937678,0.29745042492917845,0.7521246458923513,0.6912181303116147,0.34277620396600567,0.9830028328611898,0.5949008498583569,0.8328611898016998,0.6800637393767706
ireland,Ireland*,place,0.039660056657223795,1.0,1.0,1.0,0.34277620396600567,1.0,1.0,0.039660056657223795,0.6777620396600567
roscrea,Roscrea,place,0.5070821529745042,0.7577903682719547,0.7521246458923513,0.6912181303116147,0.8087818696883853,0.8356940509915014,0.8526912181303116,0.2096317280453258,0.6768767705382437
deer,Deer,place,0.5070821529745042,0.7577903682719547,0.7521246458923513,0.6912181303116147,0.8087818696883853,0.8356940509915014,0.8526912181303116,0.2096317280453258,0.6768767705382437
birr,Birr,place,0.5070821529745042,0.7577903682719547,0.7521246458923513,0.6912181303116147,0.8087818696883853,0.8356940509915014,0.8526912181303116,0.2096317280453258,0.6768767705382437
lorsch,Lorsch,place,0.9603399433427762,0.29745042492917845,0.8980169971671388,0.8753541076487252,0.34277620396600567,0.6203966005665722,0.48158640226628896,0.886685552407932,0.6703257790368271
canterbury,Canterbury,place,0.9830028328611898,0.29745042492917845,0.9405099150141643,0.9235127478753541,0.34277620396600567,0.5382436260623229,0.3002832861189802,0.9405099150141643,0.65828611898017
france,France,place,0.039660056657223795,0.9971671388101983,0.9971671388101983,0.9971671388101983,0.34277620396600567,0.9915014164305949,0.6402266288951841,0.039660056657223795,0.6306657223796033
werden,Werden,place,0.9461756373937678,0.29745042492917845,0.7521246458923513,0.6912181303116147,0.34277620396600567,0.6855524079320113,0.45892351274787535,0.8413597733711048,0.6269475920679887
trier,Trier,place,0.9461756373937678,0.29745042492917845,0.7521246458923513,0.6912181303116147,0.34277620396600567,0.4603399433427762,0.47592067988668557,0.9376770538243626,0.6129603399433428
luxeuil,Luxeuil,place,0.5070821529745042,0.7577903682719547,0.7521246458923513,0.6912181303116147,0.8087818696883853,0.5949008498583569,0.35127478753541075,0.38526912181303113,0.606055240793201
saint-denis,Saint-Denis,place,0.5070821529745042,0.7577903682719547,0.7521246458923513,0.6912181303116147,0.8087818696883853,0.5949008498583569,0.35127478753541075,0.38526912181303113,0.606055240793201
fussen,Füssen,place,0.9461756373937678,0.29745042492917845,0.7521246458923513,0.6912181303116147,0.34277620396600567,0.4603399433427762,0.45042492917847027,0.8810198300283286,0.6026912181303116
italy,Italy,place,0.039660056657223795,0.9886685552407932,0.9815864022662889,0.9830028328611898,0.34277620396600567,0.7053824362606232,0.5920679886685553,0.039660056657223795,0.5841005665722379
verona,Verona,place,0.5070821529745042,0.7577903682719547,0.7521246458923513,0.6912181303116147,0.8087818696883853,0.3031161473087819,0.23229461756373937,0.48158640226628896,0.5667492917847026
peronne,Péronne,place,0.5070821529745042,0.6005665722379604,0.6076487252124646,0.6912181303116147,0.7464589235127479,0.5949008498583569,0.34419263456090654,0.38526912181303113,0.5596671388101983
cambrai,Cambrai,place,0.5070821529745042,0.6005665722379604,0.6076487252124646,0.6912181303116147,0.7464589235127479,0.5949008498583569,0.34419263456090654,0.38526912181303113,0.5596671388101983
switzerland,Switzerland,place,0.039660056657223795,0.9518413597733711,0.9107648725212465,0.8753541076487252,0.34277620396600567,0.5127478753541076,0.6147308781869688,0.039660056657223795,0.535941926345609
england,England,place,0.039660056657223795,0.9702549575070821,0.9490084985835694,0.9589235127478754,0.34277620396600567,0.24079320113314448,0.47875354107648727,0.039660056657223795,0.5024787535410764
wales,Wales,place,0.039660056657223795,0.9447592067988668,0.8980169971671388,0.8753541076487252,0.34277620396600567,0.0679886685552408,0.3626062322946176,0.039660056657223795,0.4463526912181303
salzburg,Salzburg,place,0.039660056657223795,0.9858356940509915,0.9773371104815864,0.9759206798866855,0.34277620396600567,0.059490084985835696,0.059490084985835696,0.039660056657223795,0.4350212464589235
