Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank,Mean percentile
library_kassel,Landesbibliothek,library,0.625,0.0,0.625,0.6111111111111112,0.0,0.5,0.3888888888888889,0.5,0.40625
library_dublin_museum,National Museum of Ireland,library,0.625,0.0,0.625,0.22916666666666666,0.0,0.8055555555555556,0.7916666666666666,0.1527777777777778,0.4036458333333333
library_nancy,Bibliothèque municipale,library,0.5625,0.0,0.5625,0.6111111111111112,0.0,0.4861111111111111,0.5833333333333334,0.2222222222222222,0.37847222222222227
library_cambridge_corpus,"Corpus Christi College, Parker Library",library,0.625,0.0,0.625,0.6111111111111112,0.0,0.25,0.1111111111111111,0.7638888888888888,0.3732638888888889
library_orleans,Bibliothèque municipale,library,0.5625,0.0,0.5625,0.6111111111111112,0.0,0.16666666666666666,0.3055555555555556,0.5138888888888888,0.3402777777777778
library_saint-omer,Bibliothèque municipale,library,0.3263888888888889,0.0,0.3263888888888889,0.6111111111111112,0.0,0.2638888888888889,0.5277777777777778,0.4722222222222222,0.3159722222222222
library_st-paul,Archiv des Benediktinerstifts,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.5902777777777778,0.7152777777777778,0.3125,0.3125
library_beuron,Bibliothek der Benediktiner-Erzabtei,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.5902777777777778,0.7152777777777778,0.3125,0.3125
library_kues,Hospitalbibliothek,library,0.3263888888888889,0.0,0.3263888888888889,0.6111111111111112,0.0,0.2361111111111111,0.5416666666666666,0.4305555555555556,0.3090277777777778
library_fulda,Landesbibliothek,library,0.3263888888888889,0.0,0.3263888888888889,0.6111111111111112,0.0,0.20833333333333334,0.5555555555555556,0.4166666666666667,0.3055555555555555
library_cambrai,Bibliothèque municipale,library,0.3263888888888889,0.0,0.3263888888888889,0.6111111111111112,0.0,0.06944444444444445,0.05555555555555555,0.9166666666666666,0.2881944444444444
library_ghent,Universiteitsbibliotheek,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_trier,Stadtbibliothek,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_warminster,Library of the Marquess of Bath [Longleat House],library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_leuven,University Library,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_london_getty,Private Collection J. Paul Getty Jr.,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_cambridge_stjohns,St John's College,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_colmar,Bibliothèque municipale,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.6736111111111112,0.6388888888888888,0.08333333333333333,0.28472222222222227
library_rouen,Bibliothèque municipale,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.3194444444444444,0.2638888888888889,0.7777777777777778,0.2803819444444444
library_cologne,Historisches Archiv,library,0.3263888888888889,0.0,0.3263888888888889,0.6111111111111112,0.0,0.2222222222222222,0.5694444444444444,0.18055555555555555,0.27951388888888884
library_jena,Thüringer Universitäts- und Landesbibliothek,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.4444444444444444,0.3333333333333333,0.5416666666666666,0.2751736111111111
library_st-petersburg,Russian National Library,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.4722222222222222,0.2916666666666667,0.4861111111111111,0.2664930555555555
library_palermo,Archivio di Stato,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.5416666666666666,0.4444444444444444,0.2361111111111111,0.2630208333333333
library_paris_arsenal,Bibliothèque de l’Arsenal,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.3055555555555556,0.09722222222222222,0.625,0.2387152777777778
library_augsburg,Bischöfliche Ordinariatsbibliothek,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.1388888888888889,0.027777777777777776,0.8611111111111112,0.23871527777777776
library_cambridge_pembroke,Pembroke College,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.2777777777777778,0.1527777777777778,0.5833333333333334,0.23697916666666669
library_gniezo,Biblioteka Kapitulna,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.4166666666666667,0.18055555555555555,0.375,0.23177083333333334
library_reims,Abbey of Saint-Remi,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.4166666666666667,0.18055555555555555,0.375,0.23177083333333334
library_bologna,Biblioteca Universitaria,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.4166666666666667,0.18055555555555555,0.375,0.23177083333333334
library_valenciennes,Bibliothèque municipale,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.3611111111111111,0.1388888888888889,0.4444444444444444,0.2282986111111111
library_hereford,Cathedral Library,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.1875,0.0763888888888889,0.6736111111111112,0.22743055555555555
library_london_lambeth,Lambeth Palace Library,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.1875,0.0763888888888889,0.6736111111111112,0.22743055555555555
library_wroclaw,University Library Rehdigeranus,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.3402777777777778,0.2152777777777778,0.2708333333333333,0.21354166666666666
library_montecassino,Archivio dell'Abbazia,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.3402777777777778,0.2152777777777778,0.2708333333333333,0.21354166666666666
library_columbia,"Columbia University, Butler Library",library,0.1111111111111111,0.0,0.1111111111111111,0.6111111111111112,0.0,0.1111111111111111,0.4861111111111111,0.19444444444444445,0.203125
library_lichfield,Cathedral Library,library,0.3263888888888889,0.0,0.3263888888888889,0.22916666666666666,0.0,0.05555555555555555,0.013888888888888888,0.5694444444444444,0.19010416666666666
library_cambridge_magdalen,Magdalen College,library,0.08333333333333333,0.0,0.08333333333333333,0.6111111111111112,0.0,0.041666666666666664,0.4166666666666667,0.25,0.1857638888888889
library_turin_reale,Biblioteca Reale,library,0.027777777777777776,0.0,0.027777777777777776,0.6111111111111112,0.0,0.013888888888888888,0.3194444444444444,0.1388888888888889,0.1423611111111111
library_paris_mazarine,Bibliothèque Mazarine,library,0.08333333333333333,0.0,0.08333333333333333,0.22916666666666666,0.0,0.1527777777777778,0.2777777777777778,0.2916666666666667,0.13975694444444445
library_werden,Propsteiarchiv,library,0.04861111111111111,0.0,0.04861111111111111,0.22916666666666666,0.0,0.1111111111111111,0.4652777777777778,0.020833333333333332,0.1154513888888889
library_dusseldorf,Universitäts- und Landesbibliothek,library,0.04861111111111111,0.0,0.04861111111111111,0.22916666666666666,0.0,0.1111111111111111,0.4652777777777778,0.020833333333333332,0.1154513888888889
library_cambridge_trinity,Trinity College,library,0.08333333333333333,0.0,0.08333333333333333,0.22916666666666666,0.0,0.08333333333333333,0.041666666666666664,0.3333333333333333,0.10677083333333331
library_regensburg,Staatliche Bibliothek,library,0.013888888888888888,0.0,0.013888888888888888,0.22916666666666666,0.0,0.027777777777777776,0.125,0.16666666666666666,0.0720486111111111
