Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
canterbury,Canterbury,place,4.0,3.0,7.0,0.04918032786885246,0.0007790272320823738,0.3939331356721839,0.0020006082320640655,0.010160740996204707
corbie,Corbie,place,3.0,6.0,9.0,0.05737704918032787,0.0006096734859775099,0.5503694255370776,0.021036156260283184,0.007903173134291858
iona,Iona,place,1.0,2.0,3.0,0.02459016393442623,0.0,0.41542780657632555,0.030587540808573208,0.005801659130554425
tours,Tours,place,1.0,2.5,3.5,0.03278688524590164,0.0001016122476629183,0.4005061444164582,0.0028075174629184968,0.005861422760522835
france,France,place,0.0,44.99999999999999,44.99999999999999,0.2540983606557377,0.0,0.6005027991285584,0.05715037680822599,0.005752761615125726
paris,Paris,place,2.0,3.0,5.0,0.04098360655737705,0.0004741904890936188,0.4267713189880761,0.006867562519754238,0.006981078348774316
germany,Germany,place,0.5,22.5,23.0,0.14754098360655737,0.002845142934561713,0.45868641849838143,0.04131755094679909,0.005994193097554928
luxeuil,Luxeuil,place,1.0,1.0,2.0,0.01639344262295082,6.774149844194554e-05,0.39509938538868244,0.00196966139482794,0.005861422760522835
reims,Reims,place,1.0,10.0,11.0,0.09016393442622951,0.00030483674298875495,0.5117198357920498,0.009301484127737684,0.005861422760522835
auxerre,Auxerre,place,1.0,1.0,2.0,0.01639344262295082,0.0,0.4144704431581096,0.003350644663485659,0.005861422760522835
werden,Werden,place,2.0,1.0,3.0,0.02459016393442623,0.0001016122476629183,0.39857213823260756,0.0026242176623065784,0.006087867635861418
clondalkin,Clondalkin,place,1.0,1.0,2.0,0.01639344262295082,0.0,0.41401801480768097,0.029546940770759495,0.005801659130554425
switzerland,Switzerland,place,0.0,3.0,3.0,0.02459016393442623,0.0,0.40272612998392554,0.0052840355596042166,0.005752761615125726
verona,Verona,place,1.0,1.0,2.0,0.01639344262295082,6.774149844194554e-05,0.37608308897859377,0.0013155371829738855,0.006093907071605022
wurzburg,Würzburg,place,3.0,3.0,6.0,0.03278688524590164,0.0003387074922097277,0.5313782223091043,0.02854163030713654,0.006077001521321707
bangor,Bangor,place,1.0,1.5,2.5,0.01639344262295082,0.0,0.44513394970826686,0.01832611146227104,0.005801659130554425
echternach,Echternach,place,2.0,3.333333333333333,5.333333333333333,0.02459016393442623,6.774149844194554e-05,0.5570709516494864,0.018912067871514327,0.0077945119888947504
brittany,Brittany,place,1.0,2.5,3.5,0.03278688524590164,6.774149844194554e-05,0.38313945366736385,0.002595249168850012,0.005861422760522835
tallaght,Tallaght,place,1.0,2.0,3.0,0.02459016393442623,0.0,0.41448688102529274,0.030567376776675335,0.005801659130554425
saint-denis,Saint-Denis,place,1.0,1.0,2.0,0.01639344262295082,0.0,0.4144704431581096,0.003350644663485659,0.005861422760522835
rouen,Rouen,place,2.0,1.0,3.0,0.02459016393442623,0.00013548299688389108,0.4364799630203144,0.014190641050462841,0.005910320275951534
regensburg,Regensburg,place,3.0,8.0,11.0,0.05737704918032787,0.002506435442351985,0.4550312012286117,0.029274878863226002,0.006367158240910048
bobbio,Bobbio,place,7.500000000000001,40.0,47.5,0.13114754098360656,0.004267714401842569,0.6307904192166102,0.1432904288627316,0.011390150675998613
