Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
tours,Tours,place,1,3,1,2.5,0.0327868852459016,0.000101612247662918,0.370820668693009,9.75642039799061E-12,0.00591019624054519
france,France,place,0,31,0,26.5,0.254098360655738,0,0.4765625,1.08284355138631E-14,0.00572651395283645
paris,Paris,place,2,3,2,3,0.0409836065573771,0.000406448990651673,0.36969696969697,1.32443407985566E-06,0.00761651988168942
germany,Germany,place,2,16,0.5,15,0.147540983606557,0.00321772117599241,0.455223880597015,4.88362441675224E-12,0.006071517206272
luxeuil,Luxeuil,place,1,1,1,1,0.0163934426229508,0,0.328840970350404,9.75642039799061E-12,0.00591019624054519
reims,Reims,place,1,10,1,8.75,0.0901639344262295,0.000270965993767782,0.389776357827476,9.75642039799061E-12,0.00591019624054519
auxerre,Auxerre,place,1,1,1,1,0.0163934426229508,0,0.358823529411765,9.75642039799061E-12,0.00591019624054519
werden,Werden,place,2,1,2,1,0.0245901639344262,0.000101612247662918,0.377708978328173,2.20982380592711E-09,0.00625425037782802
clondalkin,Clondalkin,place,1,1,1,1,0.0163934426229508,0,0.382445141065831,9.75642039799061E-12,0.0058367233254617
switzerland,Switzerland,place,0,3,0,3,0.0245901639344262,0,0.327077747989276,1.08284355138631E-14,0.00572651395283645
verona,Verona,place,1,1,1,1,0.0163934426229508,6.77414984419455E-05,0.314432989690722,9.75642039799061E-12,0.00621327201526461
wurzburg,Würzburg,place,2,2,2,2,0.0327868852459016,0.000338707492209728,0.377708978328173,2.20982380592711E-09,0.00618077746274453
bangor,Bangor,place,1,1,1,0.5,0.0163934426229508,0,0.384858044164038,9.75642039799061E-12,0.0058367233254617
echternach,Echternach,place,2,1,2,1,0.0245901639344262,0,0.392282958199357,4.40014559949377E-09,0.00784620301039748
brittany,Brittany,place,1,3,1,2.5,0.0327868852459016,6.77414984419455E-05,0.35672514619883,9.75642039799061E-12,0.00591019624054519
tallaght,Tallaght,place,1,2,1,2,0.0245901639344262,0,0.383647798742138,9.75642039799061E-12,0.0058367233254617
saint-denis,Saint-Denis,place,1,1,1,1,0.0163934426229508,0,0.358823529411765,9.75642039799061E-12,0.00591019624054519
rouen,Rouen,place,2,1,2,1,0.0245901639344262,0.000135482996883891,0.417808219178082,1.95020123604674E-11,0.00602040561317044
regensburg,Regensburg,place,3,4,2.5,1.6,0.0573770491803279,0.00250643544235199,0.402640264026403,0.00454150909423973,0.00717422344352434
bobbio,Bobbio,place,5,11,2,5.83333333333333,0.131147540983607,0.00426771440184257,0.471042471042471,2.93993107044934E-09,0.0113804963361555
